"publisher","dagger","book_review_link","author","primary_isbn10","price","primary_isbn13","sunday_review_link","date","first_chapter_link","contributor","title","age_group","weeks_on_list"
"Riverhead",0,"https://www.nytimes.com/2015/01/05/books/the-girl-on-the-train-by-paula-hawkins.html","Paula Hawkins","1594634025",0,"9.78159E+12","https://www.nytimes.com/2015/02/01/books/review/the-girl-on-the-train-by-paula-hawkins.html","2/19/17",NA,"by Paula Hawkins","THE GIRL ON THE TRAIN",NA,102
"Scribner",0,NA,"Anthony Doerr","1501173219",0,"9.7815E+12","https://www.nytimes.com/2014/05/11/books/review/all-the-light-we-cannot-see-by-anthony-doerr.html","5/7/17",NA,"by Anthony Doerr","ALL THE LIGHT WE CANNOT SEE",NA,81
"Vintage",0,NA,"E L James","525431888",0,"9.78053E+12",NA,"3/5/17",NA,"by E. L. James","FIFTY SHADES DARKER",NA,66
"St. Martin's",0,NA,"Kristin Hannah","1466850604",0,"9.78147E+12",NA,"10/29/17",NA,"by Kristin Hannah","THE NIGHTINGALE",NA,63
"Penguin Group",0,"https://www.nytimes.com/2009/02/19/books/19masl.html","Kathryn Stockett","1440697663",0,"9.78144E+12",NA,"4/8/12",NA,"by Kathryn Stockett","THE HELP",NA,58
"Washington Square",0,NA,"Fredrik Backman","1476738025",0,"9.78148E+12",NA,"7/23/17",NA,"by Fredrik Backman","A MAN CALLED OVE",NA,56
"Andrews McMeel",0,NA,"Rupi Kaur","144947425X",0,"9.78145E+12",NA,"3/11/18",NA,"by Rupi Kaur","MILK AND HONEY",NA,52
"Bantam",0,NA,"George R R Martin","553897845",0,"9.78055E+12",NA,"9/17/17",NA,"by George R. R. Martin","A GAME OF THRONES",NA,51
"Berkley",0,"https://www.nytimes.com/2014/07/25/books/in-big-little-lies-liane-moriarty-finds-new-complications.html","Liane Moriarty","425274861",0,"9.78043E+12",NA,"5/21/17",NA,"by Liane Moriarty","BIG LITTLE LIES",NA,38
"Ballantine",0,NA,"Lisa Wingate","425284697",0,"9.78043E+12",NA,"6/9/18",NA,"by Lisa Wingate","BEFORE WE WERE YOURS",NA,35
"Scout",0,NA,"Ruth Ware","1501132954",0,"9.7815E+12",NA,"10/8/17",NA,"by Ruth Ware","THE WOMAN IN CABIN 10",NA,35
"Penguin Press",0,"https://www.nytimes.com/2017/09/25/books/review/little-fires-everywhere-celeste-ng.html","Celeste Ng","735224307",0,"9.78074E+12",NA,"6/9/18",NA,"by Celeste Ng","LITTLE FIRES EVERYWHERE",NA,31
"Knopf Doubleday Publishing",0,"https://www.nytimes.com/2008/09/30/books/30kaku.html","Stieg Larsson","307272117",0,"9.78031E+12","https://www.nytimes.com/2008/09/14/books/review/Berenson-t.html","1/13/13",NA,"by Stieg Larsson","THE GIRL WITH THE DRAGON TATTOO",NA,31
"Houghton Mifflin Harcourt",0,NA,"Margaret Atwood","038549081X",0,"9.78039E+12","https://www.nytimes.com/1986/02/09/books/no-headline-423986.html","6/3/18",NA,"by Margaret Atwood","THE HANDMAID'S TALE",NA,27
"Doubleday",0,"https://www.nytimes.com/2016/11/06/books/review/john-grisham-whistler.html","John Grisham","1101967684",0,"9.7811E+12",NA,"9/24/17",NA,"by John Grisham","THE WHISTLER",NA,25
"Grand Central",0,NA,"Nicholas Sparks","1455520667",0,"9.78E+12",NA,"5/17/15",NA,"by Nicholas Sparks","THE LONGEST RIDE",NA,25
"Broadway",0,"https://www.nytimes.com/2011/08/15/books/ready-player-one-by-ernest-cline-review.html","Ernest Cline","307887448",0,"9.78031E+12",NA,"5/20/18",NA,"by Ernest Cline","READY PLAYER ONE",NA,24
"Doubleday",0,"https://www.nytimes.com/2017/06/12/books/review/camino-island-john-grisham.html","John Grisham","1524797154",0,"9.78152E+12",NA,"5/27/18",NA,"by John Grisham","CAMINO ISLAND",NA,23
"Dell",0,NA,"Diana Gabaldon","440335167",0,"9.78044E+12",NA,"9/24/17",NA,"by Diana Gabaldon","OUTLANDER",NA,21
"Penguin Group",0,NA,"Sylvia Day","None",0,"9.7811E+12",NA,"2/10/13",NA,"by Sylvia Day","BARED TO YOU",NA,21
