,Title,Book Rating,imdbRating
0,Harry Potter and the Sorcerer's Stone,8.88,7.6
1,The Karamazov Brothers,8.62,7.8
2,2001: A Space Odyssey,7.46,8.3
3,In Cold Blood,8.1,8.0
4,Treasure Island,7.64,7.0
5,Treasure Island,7.64,7.0
6,Treasure Island,7.64,7.0
7,Treasure Island,7.64,7.0
8,Treasure Island,7.64,7.0
9,The Catcher in the Rye,7.58,2.1
10,A Walk to Remember,8.3,7.4
11,Message in a Bottle,7.9,6.2
12,The Notebook,8.14,7.9
13,Nights in Rodanthe,7.64,6.0
14,Message in a Bottle,7.9,6.2
15,Anne of Green Gables,8.46,8.4
16,Anne of Green Gables,8.46,8.4
17,Anne of Green Gables,8.46,8.4
18,Anne of Avonlea,8.42,8.3
19,Girl with a Pearl Earring,7.7,6.9
20,Girl with a Pearl Earring,7.7,6.9
21,Girl with a Pearl Earring,7.7,6.9
22,Pride and Prejudice,8.48,8.9
23,Pride and Prejudice,8.48,8.9
24,Pride and Prejudice,8.48,8.9
25,Pride and Prejudice,8.48,8.9
26,Never Let Me Go,7.6,7.2
27,Never Let Me Go,7.6,7.2
28,The Time Machine,7.74,5.9
29,The Time Machine,7.74,5.9
30,The Time Machine,7.74,5.9
31,Treasure Island,7.64,7.0
32,Hamlet,8.0,7.8
33,A Christmas Carol,8.04,6.8
34,Nineteen Eighty-Four,8.28,7.6
35,A Midsummer Night's Dream,7.88,6.5
36,To Kill a Mockingbird,8.52,8.3
37,1776,8.12,7.6
38,David Copperfield,7.92,7.8
39,Oliver Twist,7.7,6.9
40,East of Eden,8.7,8.0
41,East of Eden,8.7,8.0
42,The Little Prince,8.56,7.8
43,The Alchemist,7.64,3.8
44,Suzanne's Diary for Nicholas,8.32,6.6
45,The Metamorphosis,7.56,3.9
46,Life of Pi,7.76,7.9
47,A Portrait of the Artist as a Young Man,7.22,6.4
48,A Portrait of the Artist as a Young Man,7.22,6.4
49,National Theatre Live: The Curious Incident of the Dog in the Night-Time,7.7,8.2
50,Night at the Museum,8.6,6.4
51,A Midsummer Night's Dream,7.88,6.5
52,James and the Giant Peach,7.98,6.7
53,The Handmaid's Tale,8.14,8.6
54,Don Quijote de la Mancha,7.7,7.4
55,Brave New World,7.94,5.3
