,Actors,Awards,BoxOffice,Country,DVD,Director,Error,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,totalSeasons,Book Rating
0,"Richard Harris, Maggie Smith, Robbie Coltrane, Saunders Triplets",Nominated for 3 Oscars. Another 17 wins & 62 nominations.,"$317,557,891","UK, USA",28 May 2002,Chris Columbus,,"Adventure, Family, Fantasy",English,64,"An orphaned boy enrolled in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",https://m.media-amazon.com/images/M/MV5BNjQ3NWNlNmQtMTE5ZS00MDdmLTlkZjUtZTBlM2UxMGFiMTU3XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,Warner Bros. Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",16 Nov 2001,True,152 min,Harry Potter and the Sorcerer's Stone,movie,http://movies.warnerbros.com/awards/harry.html,"J.K. Rowling (novel), Steve Kloves (screenplay)",2001,tt0241527,7.6,"538,048",,4.44
1,,,,,,,Movie not found!,,,,,,,,,,False,,,,,,,,,,,4.54
2,,,,,,,Movie not found!,,,,,,,,,,False,,,,,,,,,,,4.47
3,,,,,,,Movie not found!,,,,,,,,,,False,,,,,,,,,,,4.38
4,,,,,,,Movie not found!,,,,,,,,,,False,,,,,,,,,,,4.53
5,,,,,,,Movie not found!,,,,,,,,,,False,,,,,,,,,,,4.53
6,,,,,,,Movie not found!,,,,,,,,,,False,,,,,,,,,,,3.75
7,"Michaela Badinková, Jerzy Michal Bozyk, Igor Chmela, Malgorzata Galkowska",4 wins & 8 nominations.,N/A,"Czech Republic, Poland, France",N/A,Petr Zelenka,,Drama,"Czech, Polish, English",N/A,"A film that examines the relationships between lives on both sides of the proscenium, Petr Zelenka's Karamazovi finds a Prague-based theatrical ensemble arriving in Krakow, Poland - where ...",https://images-na.ssl-images-amazon.com/images/M/MV5BOTFmMTczYTktMjY1Yi00YzYzLWFmYzktMDM1NGY2YzJjMTFlXkEyXkFqcGdeQXVyMjIxMzMyMQ@@._V1_SX300.jpg,Ceska Televize,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",24 Apr 2008,True,110 min,The Karamazov Brothers,movie,http://www.braciakaramazow.pl/,"Fyodor Dostoevsky (novel), Evald Schorm (stage adaptation), Petr Zelenka",2008,tt1080716,7.8,989,,4.31
8,,,,,,,Movie not found!,,,,,,,,,,False,,,,,,,,,,,3.91
9,"Keir Dullea, Gary Lockwood, William Sylvester, Daniel Richter",Won 1 Oscar. Another 13 wins & 10 nominations.,"$135,620","UK, USA",25 Aug 1998,Stanley Kubrick,,"Adventure, Sci-Fi","English, Russian",82,"A space-opera spanning the dawn of man to humanity reaching the stars, 2001: A Space Odyssey tells the story of the Black Monolith, humanity's evolution and the rise of A.I.'s ultimate supercomputer HAL 9000.",https://m.media-amazon.com/images/M/MV5BMmNlYzRiNDctZWNhMi00MzI4LThkZTctMTUzMmZkMmFmNThmXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,Warner Bros. Pictures,G,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",12 May 1968,True,149 min,2001: A Space Odyssey,movie,N/A,"Stanley Kubrick (screenplay), Arthur C. Clarke (screenplay)",1968,tt0062622,8.3,"516,610",,3.73
10,,,,,,,Movie not found!,,,,,,,,,,False,,,,,,,,,,,3.93
11,,,,,,,Movie not found!,,,,,,,,,,False,,,,,,,,,,,3.93
12,,,,,,,Movie not found!,,,,,,,,,,False,,,,,,,,,,,3.93
13,"Robert Blake, Scott Wilson, John Forsythe, Paul Stewart",Nominated for 4 Oscars. Another 4 wins & 5 nominations.,N/A,USA,23 Sep 2003,Richard Brooks,,"Biography, Crime, Drama",English,89,"After a botched robbery results in the brutal murder of a rural family, two drifters elude police, in the end coming to terms with their own mortality and the repercussions of their vile atrocity.",https://m.media-amazon.com/images/M/MV5BOTg4OGY2NmEtZTZlMy00ZjM3LWIyZjAtMzQzMjI1MmI1OTRhL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Columbia Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '89/100'}]",07 Mar 1968,True,134 min,In Cold Blood,movie,N/A,"Truman Capote (based on the book by), Richard Brooks (written for the screen by)",1967,tt0061809,8.0,"21,471",,4.05
14,,,,,,,Movie not found!,,,,,,,,,,False,,,,,,,,,,,4.04
15,,,,,,,Movie not found!,,,,,,,,,,False,,,,,,,,,,,4.3
16,,,,,,,Movie not found!,,,,,,,,,,False,,,,,,,,,,,4.3
17,,,,,,,Movie not found!,,,,,,,,,,False,,,,,,,,,,,4.3
18,,,,,,,Movie not found!,,,,,,,,,,False,,,,,,,,,,,4.18
19,"Bobby Driscoll, Robert Newton, Basil Sydney, Walter Fitzgerald",1 nomination.,N/A,"UK, USA",25 Apr 2006,Byron Haskin,,"Adventure, Family",English,N/A,The treasure seeking adventures of young Jim Hawkins and pirate captain Long John Silver.,https://m.media-amazon.com/images/M/MV5BMWMzZDM5ZTEtNDY2Yi00NjhjLTkwZjgtYjQ2MjVlMGZhYmQ2XkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_SX300.jpg,N/A,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",19 Jul 1950,True,96 min,Treasure Island,movie,N/A,"Lawrence Edward Watkin (screenplay), Robert Louis Stevenson (story)",1950,tt0043067,7.0,"5,697",,3.82
20,"Bobby Driscoll, Robert Newton, Basil Sydney, Walter Fitzgerald",1 nomination.,N/A,"UK, USA",25 Apr 2006,Byron Haskin,,"Adventure, Family",English,N/A,The treasure seeking adventures of young Jim Hawkins and pirate captain Long John Silver.,https://m.media-amazon.com/images/M/MV5BMWMzZDM5ZTEtNDY2Yi00NjhjLTkwZjgtYjQ2MjVlMGZhYmQ2XkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_SX300.jpg,N/A,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",19 Jul 1950,True,96 min,Treasure Island,movie,N/A,"Lawrence Edward Watkin (screenplay), Robert Louis Stevenson (story)",1950,tt0043067,7.0,"5,697",,3.82
