,Title,imdbRating,Book Rating,Genre
0,Harry Potter and the Sorcerer's Stone,7.6,8.88,"Adventure, Family, Fantasy"
1,The Karamazov Brothers,7.8,8.62,Drama
2,2001: A Space Odyssey,8.3,7.46,"Adventure, Sci-Fi"
3,In Cold Blood,8.0,8.1,"Biography, Crime, Drama"
4,Treasure Island,7.0,7.64,"Adventure, Family"
5,Treasure Island,7.0,7.64,"Adventure, Family"
6,Treasure Island,7.0,7.64,"Adventure, Family"
7,Treasure Island,7.0,7.64,"Adventure, Family"
8,Treasure Island,7.0,7.64,"Adventure, Family"
9,The Catcher in the Rye,2.1,7.58,
10,A Walk to Remember,7.4,8.3,"Drama, Romance"
11,Message in a Bottle,6.2,7.9,"Drama, Romance"
12,The Notebook,7.9,8.14,"Drama, Romance"
13,El Guardián,,8.28,"Short, Horror"
14,Nights in Rodanthe,6.0,7.64,"Drama, Romance"
15,Message in a Bottle,6.2,7.9,"Drama, Romance"
16,Anne of Green Gables,8.4,8.46,"Drama, Family"
17,Anne of Green Gables,8.4,8.46,"Drama, Family"
18,Anne of Green Gables,8.4,8.46,"Drama, Family"
19,Anne of Avonlea,8.3,8.42,"Drama, Family, Romance"
20,En mil pedazos,,7.24,
21,Girl with a Pearl Earring,6.9,7.7,"Biography, Drama, Romance"
22,Girl with a Pearl Earring,6.9,7.7,"Biography, Drama, Romance"
23,Girl with a Pearl Earring,6.9,7.7,"Biography, Drama, Romance"
24,Pride and Prejudice,8.9,8.48,"Drama, Romance"
25,Pride and Prejudice,8.9,8.48,"Drama, Romance"
26,Pride and Prejudice,8.9,8.48,"Drama, Romance"
27,Pride and Prejudice,8.9,8.48,"Drama, Romance"
28,Never Let Me Go,7.2,7.6,"Drama, Romance, Sci-Fi"
29,Never Let Me Go,7.2,7.6,"Drama, Romance, Sci-Fi"
30,The Time Machine,5.9,7.74,"Action, Adventure, Sci-Fi"
31,The Time Machine,5.9,7.74,"Action, Adventure, Sci-Fi"
32,The Time Machine,5.9,7.74,"Action, Adventure, Sci-Fi"
33,Treasure Island,7.0,7.64,"Adventure, Family"
34,Hamlet,7.8,8.0,Drama
35,A Christmas Carol,6.8,8.04,"Animation, Drama, Family"
36,Nineteen Eighty-Four,7.6,8.28,"Drama, Sci-Fi"
37,A Midsummer Night's Dream,6.5,7.88,"Comedy, Fantasy, Romance"
38,To Kill a Mockingbird,8.3,8.52,"Crime, Drama"
39,1776,7.6,8.12,"Drama, Family, History"
40,David Copperfield,7.8,7.92,Drama
41,Oliver Twist,6.9,7.7,"Crime, Drama"
42,East of Eden,8.0,8.7,Drama
43,East of Eden,8.0,8.7,Drama
44,The Little Prince,7.8,8.56,"Animation, Adventure, Drama"
45,The Alchemist,3.8,7.64,Horror
46,Suzanne's Diary for Nicholas,6.6,8.32,"Drama, Romance"
47,The Metamorphosis,3.9,7.56,Short
48,Life of Pi,7.9,7.76,"Adventure, Drama, Fantasy"
49,A Portrait of the Artist as a Young Man,6.4,7.22,Drama
50,A Portrait of the Artist as a Young Man,6.4,7.22,Drama
51,National Theatre Live: The Curious Incident of the Dog in the Night-Time,8.2,7.7,
52,Night at the Museum,6.4,8.6,"Adventure, Comedy, Family"
53,A Midsummer Night's Dream,6.5,7.88,"Comedy, Fantasy, Romance"
54,James and the Giant Peach,6.7,7.98,"Animation, Adventure, Family"
55,Stranger in a Strange Land,,7.82,"Short, Drama, Mystery"
56,The Handmaid's Tale,8.6,8.14,"Drama, Sci-Fi"
57,Don Quijote de la Mancha,7.4,7.7,Comedy
58,Brave New World,5.3,7.94,"Drama, Sci-Fi"
59,The Hobbit,6.8,8.5,"Animation, Adventure, Family"
60,The Hobbit,6.8,8.5,"Animation, Adventure, Family"
61,Tuesdays with Morrie,7.5,8.14,"Biography, Drama"
62,La dernière leçon du parrain,7.9,8.14,"Short, Action, Adventure"
63,Tuesdays with Morrie,7.5,8.14,"Biography, Drama"
64,Lord of the Flies,6.4,7.3,"Adventure, Drama, Thriller"
65,The Great Gatsby,7.3,7.78,"Drama, Romance"
66,Siddhartha,6.7,7.98,"Drama, Mystery"
67,Like Water for Chocolate,7.2,7.88,"Drama, Romance"
68,To Kill a Mockingbird,8.3,8.52,"Crime, Drama"
69,To Kill a Mockingbird,8.3,8.52,"Crime, Drama"
70,The House of the Spirits,6.9,8.4,"Drama, Romance"
71,The House of the Spirits,6.9,8.4,"Drama, Romance"
72,Twelfth Night,8.1,7.94,"Comedy, Drama, Romance"
73,Crime and Punishment,7.2,8.38,"Crime, Drama"
74,Crime and Punishment,7.2,8.38,"Crime, Drama"
75,A Portrait of the Artist as a Young Man,6.4,7.22,Drama
76,Great Expectations,6.8,7.5,"Drama, Romance"
77,Crime and Punishment,7.2,8.38,"Crime, Drama"
78,American Psycho,7.6,7.62,"Crime, Drama"
79,Siddhartha,6.7,7.98,"Drama, Mystery"
80,Siddhartha,6.7,7.98,"Drama, Mystery"
81,Siddhartha,6.7,7.98,"Drama, Mystery"
82,Siddhartha,6.7,7.98,"Drama, Mystery"
83,Siddhartha,6.7,7.98,"Drama, Mystery"
84,Siddhartha,6.7,7.98,"Drama, Mystery"
85,White Oleander,7.2,7.88,Drama
86,Great Expectations,6.8,7.5,"Drama, Romance"
87,The Hound of the Baskervilles,7.6,8.18,"Horror, Mystery, Thriller"
88,The Hound of the Baskervilles,7.6,8.18,"Horror, Mystery, Thriller"
89,The Hound of the Baskervilles,7.6,8.18,"Horror, Mystery, Thriller"
90,On the Road,6.1,7.28,"Adventure, Drama, Romance"
91,On the Road,6.1,7.28,"Adventure, Drama, Romance"
92,On the Road,6.1,7.28,"Adventure, Drama, Romance"
93,On the Road,6.1,7.28,"Adventure, Drama, Romance"
94,Where the Heart Is,6.8,8.0,"Comedy, Drama, Romance"
95,Midwives,6.1,7.94,"Drama, Crime"
96,Slaughterhouse-Five,6.9,8.12,"Comedy, Drama, Sci-Fi"
97,Perfume: The Story of a Murderer,7.5,8.0,"Crime, Drama, Fantasy"
98,Perfume: The Story of a Murderer,7.5,8.0,"Crime, Drama, Fantasy"
99,Beloved,5.9,7.54,"Drama, History, Horror"
100,Cloudy with a Chance of Meatballs,7.0,8.3,"Animation, Action, Adventure"
101,The Lovely Bones,6.7,7.56,"Drama, Fantasy, Thriller"
102,The Lovely Bones,6.7,7.56,"Drama, Fantasy, Thriller"
103,The Lovely Bones,6.7,7.56,"Drama, Fantasy, Thriller"
104,Franny and Zooey,,7.96,"Short, Drama"
105,The Catcher in the Rye,2.1,7.58,
106,Ways of Seeing,8.6,7.5,"Documentary, Family"
107,Like Water for Chocolate,7.2,7.88,"Drama, Romance"
108,Like Water for Chocolate,7.2,7.88,"Drama, Romance"
109,Running with Scissors,6.2,7.4,"Comedy, Drama"
110,The Brothers Karamazov,6.8,8.62,"Drama, Romance"
111,The God of Small Things,,7.84,"Short, Drama"
112,A Portrait of the Artist as a Young Man,6.4,7.22,Drama
113,A Portrait of the Artist as a Young Man,6.4,7.22,Drama
114,A Portrait of the Artist as a Young Man,6.4,7.22,Drama
115,The Count of Monte Cristo,7.8,8.44,"Action, Adventure, Drama"
116,The Count of Monte Cristo,7.8,8.44,"Action, Adventure, Drama"
117,Angeli e demoni,7.2,7.72,
118,The Unbearable Lightness of Being,7.4,8.16,"Drama, Romance"
119,The Time Machine,5.9,7.74,"Action, Adventure, Sci-Fi"
120,The Time Machine,5.9,7.74,"Action, Adventure, Sci-Fi"
121,The Picture of Dorian Gray,7.6,8.12,"Drama, Fantasy, Horror"
122,LolLOTR: the Silmarillion,7.0,7.76,Comedy
