Title,Book Rating,imdbRating
The Outsiders,9.08,7.2
Outsider,8.94,8.1
Harry Potter and the Sorcerer's Stone,8.88,7.6
Kiss the Girls,8.86,6.6
Mitch Albom's For One More Day,8.76,5.8
The Lord of the Rings,8.746666666666664,6.2
The Lorax,8.7,6.4
Oedipus Rex,8.68,7.5
Into the Inferno,8.68,7.2
The Karamazov Brothers,8.62,7.8
The Pillars of the Earth,8.58,8.1
Dreamcatcher,8.58,5.5
The Very Hungry Caterpillar,8.58,5.3
Der kleine Prinz,8.56,7.9
The Little Prince,8.56,7.8
Misery,8.530000000000001,7.8
The Guardian,8.520000000000001,6.900000000000001
The Client,8.52,6.7
To Kill a Mockingbird,8.52,8.3
The Westing Game,8.52,5.4
The Dark Tower,8.5,5.7
V for Vendetta,8.5,8.2
East of Eden,8.48,8.0
The Call of the Wild,8.48,6.0
Cat's Cradle,8.48,6.2
Night at the Museum,8.466666666666667,6.400000000000001
Business As Usual - Der Prophet fliegt mit,8.46,8.0
Anne of Green Gables,8.46,8.4
Eleven Minutes,8.46,6.6
The Thorn Birds,8.455,8.0
Sharp Objects,8.44,8.3
Ten Little Indians,8.44,6.7
The Count of Monte Cristo,8.434545454545455,7.799999999999998
The Shortest Way Home: C.S. Lewis and Mere Christianity,8.427999999999999,4.4
Art of War,8.42,7.6
Anne of Avonlea,8.42,8.299999999999999
Heidi,8.42,7.3
The House of the Spirits,8.4,6.9
Watership Down,8.395,7.7
The Dark Half,8.39,5.9
A Tree Grows in Brooklyn,8.38,8.1
For Whom the Bell Tolls,8.38,7.0
The Book Thief,8.379999999999999,7.6
The Hobbit,8.373333333333333,6.8
Crime and Punishment,8.365714285714287,7.200000000000001
Vergeef me,8.36,6.1
Nineteen Eighty-Four,8.36,7.599999999999999
Thinner,8.36,5.7
One Flew Over the Cuckoo's Nest,8.3525,8.700000000000001
The Witches,8.34,6.8
The Importance of Being Earnest,8.34,6.9
The Stranger,8.34,7.4
Pride and Prejudice,8.33866666666667,8.900000000000002
Shutter Island,8.32,8.1
Cold Mountain,8.309999999999999,7.2
The Time Traveler's Wife,8.303999999999998,7.1
World Without End,8.3,7.0
From the Mixed-Up Files of Mrs. Basil E. Frankweiler,8.3,6.2
Christine,8.3,6.7
The Brothers Karamazov,8.292857142857141,6.799999999999998
The Princess Bride,8.28,8.1
Timeline,8.27,5.6
Coraline,8.265,7.7
Slaughterhouse-Five,8.26,6.9
The Diary of Anne Frank,8.26,7.4
Persuasion,8.26,7.6
The Secret Garden,8.257142857142858,7.299999999999999
The Glass Castle,8.253333333333334,7.2
Cloudy with a Chance of Meatballs,8.25,7.0
Angela's Ashes,8.24,7.3
Secret Garden,8.24,8.3
Watchers,8.24,5.3
The Adventures of Sherlock Holmes,8.24,8.7
The Martian Chronicles,8.24,6.7
The Color Purple,8.239999999999998,7.8
The Godfather,8.22,9.200000000000001
Insomnia,8.22,7.2
The Phantom Tollbooth,8.22,7.0
THINK and GROW RICH: The Legacy,8.22,9.1
Schindler's List,8.213333333333333,8.9
The Pact,8.21,5.8
The Rescue,8.2,5.5
The Things They Carried,8.190000000000001,7.2
Congo,8.190000000000001,5.1
Matilda,8.19,6.9
Promène-toi donc tout nu!,8.18,5.3
The Hound of the Baskervilles,8.1775,7.6000000000000005
The BFG,8.175999999999998,6.4
A Brief History of Time,8.173333333333334,7.400000000000001
Much Ado About Nothing,8.173333333333332,7.3999999999999995
Suzanne's Diary for Nicholas,8.17,6.6000000000000005
A Walk to Remember,8.17,7.4
John Adams,8.16,8.6
The Unbearable Lightness of Being,8.16,7.4
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",8.16,6.9
Blindness,8.16,6.6
Nackt unter Wölfen,8.16,7.3
Fear and Loathing in Las Vegas,8.16,7.7
No Country for Old Men,8.16,8.1
Flowers for Algernon,8.155000000000001,6.9
Marley,8.153333333333334,8.0
The Tale of Peter Rabbit,8.146666666666667,8.7
La dernière leçon du parrain,8.14,7.9
The Notebook,8.14,7.9
Redeeming Love,8.14,4.1
The World According to Garp,8.14,7.2
Tuesdays with Morrie,8.14,7.5
A Million Little Pieces,8.14,1.3
Jane Eyre,8.137777777777778,7.3999999999999995
Paradise Lost,8.137142857142859,5.2
Anna Karenina,8.132307692307691,6.599999999999999
Neverwhere,8.125,7.3
Breakfast of Champions,8.12,4.6
A Beautiful Mind,8.12,8.2
Waiting for Godot,8.12,7.7
Le portrait de Dorian Gray,8.12,6.3
The Three Musketeers,8.113333333333332,5.8
In Cold Blood,8.11,8.0
A Farewell to Arms,8.104,6.5
The 7 Habits of Highly Effective People,8.1,7.3
Island of the Blue Dolphins,8.1,6.1
Where the Red Fern Grows,8.1,6.9
A Walk in the Woods,8.1,6.3
The Handmaid's Tale,8.095,8.6
1984,8.092,7.2
1776,8.09,7.6
The Picture of Dorian Gray,8.087272727272728,7.6
Le nom de la rose,8.08,8.0
Le pacte du silence,8.08,5.8
P.S. I Love You,8.07,7.1
Plain Truth,8.07,6.4
Emma,8.063333333333334,6.7
Memoirs of a Geisha,8.0625,7.3999999999999995
Esfera,8.06,7.7
The Grapes of Wrath,8.056000000000001,8.1
Big Fish in Middlesex,8.053333333333333,8.1
American Gods,8.05,8.1
War and Peace,8.048,6.8
A Study in Scarlet,8.040000000000001,5.7
The Name of the Rose,8.040000000000001,7.8
A Bend in the Road,8.04,6.4
Little Women,8.04,7.299999999999999
It's Kind of a Funny Story,8.04,7.1
The Rainmaker,8.04,7.1
Rebecca,8.04,8.1
Sense and Sensibility,8.035999999999998,7.7
The Prophet,8.033333333333333,7.099999999999999
Dear John,8.02,6.3
The Red Tent,8.02,7.3
