,index,Title,imdbRating
0,0,The Hunger Games,7.2
1,2,Twilight,5.2
2,3,To Kill a Mockingbird,8.3
3,4,The Great Gatsby,7.3
4,5,The Fault in Our Stars,7.8
5,7,The Catcher in the Rye,2.1
6,8,Angels & Demons,6.7
7,9,Pride and Prejudice,8.9
8,10,The Kite Runner,7.6
9,11,Divergent,6.7
10,12,Nineteen Eighty-Four,7.6
11,16,Catching Fire,6.4
12,17,Harry Potter and the Prisoner of Azkaban,7.9
13,18,The Lord of the Rings: The Fellowship of the Ring,8.8
14,19,The Hunger Games: Mockingjay - Part 1,6.7
15,20,Harry Potter and the Order of the Phoenix,7.5
16,21,The Lovely Bones,6.7
17,22,Harry Potter and the Chamber of Secrets,7.4
18,23,Harry Potter and the Goblet of Fire,7.7
19,24,Harry Potter and the Deathly Hallows: Part 2,8.1
20,25,The Da Vinci Code,6.6
21,26,Harry Potter and the Half-Blood Prince,7.6
22,27,Lord of the Flies,6.4
23,29,Gone Girl,8.1
24,30,The Help,8.1
25,31,Of Mice and Men,7.5
26,32,Memoirs of a Geisha,7.4
27,33,Fifty Shades of Grey,4.1
29,35,The Giver,6.5
30,36,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.9
31,37,The Time Traveler's Wife,7.1
33,40,Percy Jackson & the Olympians: The Lightning Thief,5.9
34,41,Little Women,7.3
35,42,Jane Eyre,7.4
36,43,The Notebook,7.9
37,44,Water for Elephants,6.9
38,45,The Book Thief,7.6
39,46,Fahrenheit 451,7.3
40,49,The Mortal Instruments: City of Bones,5.9
41,50,Eclipse,6.0
42,51,Eragon,5.1
43,52,The Hitchhiker's Guide to the Galaxy,6.8
44,53,Brave New World,5.3
45,54,Breaking Dawn,5.7
46,55,The Secret Life of Bees,7.3
47,56,The Adventures of Huckleberry Finn,6.3
48,57,Charlotte's Web,6.3
49,58,National Theatre Live: The Curious Incident of the Dog in the Night-Time,8.4
50,59,The Girl on the Train,6.5
51,60,Northern Lights,5.9
52,61,Wuthering Heights,7.7
53,62,My Sister's Keeper,7.4
54,64,Gone with the Wind,8.2
56,66,The Perks of Being a Wallflower,8.0
57,67,Insurgent,6.2
58,68,Ender's Game,6.6
60,70,The Shining,8.4
61,71,The Host,5.9
63,73,Sense and Sensibility,7.7
64,74,Holes,7.0
65,75,The Devil Wears Prada,6.9
66,77,Le Petit Prince,7.3
67,78,The Glass Castle,7.2
68,79,Into the Wild,8.1
69,80,A Tale of Two Cities,7.8
70,81,Jurassic Park,8.1
71,82,The Giving Tree,4.1
72,83,A Time to Kill,7.4
73,85,Paper Towns,6.3
74,86,The Princess Bride,8.1
75,87,The Outsiders,7.2
76,88,The Maze Runner,6.8
77,90,The Secret Garden,7.3
78,92,The Picture of Dorian Gray,7.6
79,93,Fifty Shades Freed,4.4
80,94,Dracula,7.6
81,96,Fifty Shades Darker,4.6
82,99,Where the Wild Things Are,6.8
83,100,Le comte de Monte-Cristo,8.2
84,101,The Road,7.3
85,102,Allegiant,5.7
86,103,A Walk to Remember,7.4
87,104,Confessions of a Shopaholic,5.9
88,105,Les Misérables,7.6
89,107,The Memory Keeper's Daughter,6.7
90,108,Me Before You,7.4
91,109,Catch-22,7.2
92,110,Tuesdays with Morrie,7.5
93,111,Big Fish in Middlesex,8.1
94,112,The Adventures of Tom Sawyer,7.3
95,113,A Wrinkle in Time,4.2
96,114,The Joy Luck Club,7.6
97,115,The Handmaid's Tale,8.6
98,116,The Sisterhood of the Traveling Pants,6.5
99,118,The Firm,6.8
100,119,Room,8.2
101,121,Dune,6.6
102,123,Steve Jobs,7.2
103,124,One Flew Over the Cuckoo's Nest,8.7
104,125,The Old Man and the Sea,7.0
105,126,The Grapes of Wrath,8.1
106,127,Anne of Green Gables,8.4
107,128,City of Glass,6.8
108,130,Divine Secrets of the Ya-Ya Sisterhood,6.0
109,131,Outlander,8.5
110,132,The Scarlet Letter,5.2
111,133,Miss Peregrine's Home for Peculiar Children,6.7
112,135,The Martian,8.0
113,136,The Pillars of the Earth,8.1
115,141,Girl with a Pearl Earring,6.9
116,142,If I Stay,6.8
117,143,The Red Tent,7.3
118,145,Dear John,6.3
119,147,The Tragedy of Macbeth,6.7
120,148,The Lord of the Rings: The Two Towers,8.7
121,149,Something Borrowed,5.9
123,151,Charlie and the Chocolate Factory,6.7
124,153,Great Expectations,6.8
125,154,The Return of the King,5.7
129,159,American Gods,8.1
130,160,The Stand,7.2
131,161,The Last Song,5.9
132,163,Emma,6.7
133,165,A Clockwork Orange,8.3
134,168,It,7.4
135,170,The Bell Jar,5.7
136,172,Siddhartha,6.7
137,173,In Cold Blood,8.0
138,174,Beautiful Creatures,6.2
140,176,Matilda,6.9
141,177,The Night Circus,7.3
142,178,The Other Boleyn Girl,6.7
144,180,The Lord of the Rings,6.2
145,182,Watchmen,7.6
146,186,The Guernsey Literary and Potato Peel Pie Society,7.4
147,187,Fight Club,8.8
148,189,The Color Purple,7.8
149,190,Marley,8.0
150,191,Ten Little Niggers,7.4
151,192,Hunting the Lost Symbol,5.9
152,193,"Hush...Hush, Sweet Charlotte",7.7
153,194,Interview with the Vampire: The Vampire Chronicles,7.6
154,195,The Selection,7.5
155,196,One for the Money,5.3
156,197,The Immortal Life of Henrietta Lacks,6.3
